Symbol,Date,IsCircuit
NSE:PGIL,2025-04-15,1
NSE:POKARNA,2025-04-15,1
NSE:RAJTV,2025-04-15,1
NSE:SKYGOLD,2025-04-15,1
NSE:CURAA,2025-04-11,1
NSE:GRWRHITECH,2025-04-11,1
NSE:NIBE,2025-04-11,1
NSE:POKARNA,2025-04-11,1
NSE:TECILCHEM,2025-04-11,1
NSE:CURAA,2025-04-09,1
NSE:NACLIND,2025-04-09,1
NSE:CURAA,2025-04-08,1
NSE:MAFANG,2025-04-08,1
NSE:OILCOUNTUB,2025-04-08,1
NSE:TECILCHEM,2025-04-08,1
NSE:ASHAPURMIN,2025-04-07,1
NSE:AYMSYNTEX,2025-04-07,1
NSE:DHANBANK,2025-04-07,1
NSE:DIACABS,2025-04-07,1
NSE:GANGAFORGE,2025-04-07,1
NSE:HERCULES,2025-04-07,1
NSE:INDOTECH,2025-04-07,1
NSE:IGIL,2025-04-07,1
NSE:KITEX,2025-04-07,1
NSE:MSPL,2025-04-07,1
NSE:NIBE,2025-04-07,1
NSE:NITCO,2025-04-07,1
NSE:ORIENTTECH,2025-04-07,1
NSE:TARIL,2025-04-07,1
NSE:WEBELSOLAR,2025-04-07,1
NSE:AKSHOPTFBR,2025-04-04,1
NSE:FOCUS,2025-04-04,1
NSE:AAREYDRUGS,2025-04-03,1
NSE:AKSHOPTFBR,2025-04-03,1
NSE:BTML,2025-04-03,1
